id,employee_id,organization,role_title,description,start_date,end_date
9f300105-5b19-4415-84c5-2374d50e1b96,e8ebc110-8275-477f-a0cb-5f443f25ac09,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
3c1edd56-9903-451e-a608-100d7b74d300,d3010204-a6b6-430e-8de1-c089f5c97186,NovaTech Solutions,Data Analyst,Worked as Data Analyst delivering key software solutions.,2023-09-20,
ceb5e6a5-769d-45e6-90cd-accf3a8e368b,7fcb9a27-2d5e-4e90-acd8-953d5046f0c2,NovaTech Solutions,DevOps Engineer,Worked as DevOps Engineer delivering key software solutions.,2023-09-20,
287825c5-e7ef-436f-a251-fcb1316aa5b1,ca2f1a7d-82f2-490f-ad83-21a7011ae9ee,NovaTech Solutions,Cloud Security Engineer,Worked as Cloud Security Engineer delivering key software solutions.,2023-09-20,
e597fed1-368e-4084-be2e-4d6952aeafe3,c2f51815-6d15-4791-a5b6-f03f440f46ae,NovaTech Solutions,Data Analyst,Worked as Data Analyst delivering key software solutions.,2023-09-20,
3ab5382a-a816-47f1-b312-7415eca5aa53,6c22f6a6-0fd1-4be8-9ce0-816706f56e44,NovaTech Solutions,AI Engineer,Worked as AI Engineer delivering key software solutions.,2023-09-20,
f09024b2-b4ad-4f30-a510-74b1b42def3f,d66cd70c-978e-46cc-a871-1b2e00f11a3c,NovaTech Solutions,Cloud Engineer,Worked as Cloud Engineer delivering key software solutions.,2023-09-20,
b8cefe4c-c3cb-460c-ac2a-cb0570f8c8c2,aab02f87-cbe0-44f1-ab2a-4a46d9034c1b,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
e327d9a5-6021-402e-b0a2-9975269f74b9,891f60b2-6e50-44ad-a112-b0ce4f470de6,NovaTech Solutions,Business Analyst,Worked as Business Analyst delivering key software solutions.,2023-09-20,
1756cb82-4062-44b4-a55b-ac619da84bfd,b082f688-19fe-4760-819c-ca3b4dc1ce16,NovaTech Solutions,QA Engineer,Worked as QA Engineer delivering key software solutions.,2023-09-20,
84c8caeb-f261-4142-8ede-fe492d30bbba,b873acd2-f505-40d2-affa-d65e2ac466a3,NovaTech Solutions,Backend Developer,Worked as Backend Developer delivering key software solutions.,2023-09-20,
2018ba44-1a44-4c0b-a494-dcc7ec1d7e37,90379838-c371-4977-83e3-42bbc6ec9ebd,NovaTech Solutions,Mobile Developer,Worked as Mobile Developer delivering key software solutions.,2023-09-20,
82d271be-223f-4ba4-828f-56046d28327f,db69df78-a295-4506-8453-8b8eb7e4a70b,NovaTech Solutions,Backend Developer,Worked as Backend Developer delivering key software solutions.,2023-09-20,
d855d139-e9f0-4d2a-999d-ae7d1a4026d0,9d3bcef2-0760-49cc-93d6-d17708197b42,NovaTech Solutions,Cloud Engineer,Worked as Cloud Engineer delivering key software solutions.,2023-09-20,
a75e2ae2-e35a-4127-8c78-4c51f513f956,20fc1f8a-769e-4c70-96b5-7d1f1ea83d88,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
7468c741-f136-413f-9a13-2f72df552033,3f49b4ed-a19b-4a48-9e35-4f1f1da35b98,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
57c37a21-720a-4690-b432-66323f15ce89,31e7d38f-99be-45be-9fac-e2bcd3b5fb40,NovaTech Solutions,Frontend Developer,Worked as Frontend Developer delivering key software solutions.,2023-09-20,
77edc09d-32e8-47fd-945d-473e06dc1574,a5ba03da-e2f5-45cf-be55-1af374639a93,NovaTech Solutions,Data Engineer,Worked as Data Engineer delivering key software solutions.,2023-09-20,
c2786ef9-007e-4c3b-ad9e-4d86066c09f0,d133ac64-cde0-4615-aa09-317c7b7c656f,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
eb380887-1abc-4095-808d-2f0edc1f1730,159dc7f4-4482-4cef-9ec9-2f5caea2d261,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
8a583ef3-4505-44b5-9a98-de8a0713b59e,dd66421a-d3a3-418b-af3c-b69a6c05a133,NovaTech Solutions,Cybersecurity Analyst,Worked as Cybersecurity Analyst delivering key software solutions.,2023-09-20,
a338f016-9d8a-4f84-b952-d6a20f4f980f,69b17375-fe97-4ff4-adab-573666c1671c,NovaTech Solutions,QA Engineer,Worked as QA Engineer delivering key software solutions.,2023-09-20,
03adb1f5-bbd6-4565-a9cb-6da9c0067288,3ed9120a-6c58-4cf1-a302-84b31726a528,NovaTech Solutions,Mobile Developer,Worked as Mobile Developer delivering key software solutions.,2023-09-20,
b24e4212-734b-4f3d-927f-e1325f8232c8,e3773936-d600-4048-ae4b-04d658d22e5c,NovaTech Solutions,QA Engineer,Worked as QA Engineer delivering key software solutions.,2023-09-20,
b672a813-86e7-4a8e-86ae-69e753c42d59,ef9fc64e-091e-4d0a-ae30-37af737db175,NovaTech Solutions,DevOps Engineer,Worked as DevOps Engineer delivering key software solutions.,2023-09-20,
4bb8a43f-801d-4ddf-bbe6-e874e11a65ea,871be211-c5ee-4705-9d6d-686c8bc06f4a,NovaTech Solutions,Cybersecurity Analyst,Worked as Cybersecurity Analyst delivering key software solutions.,2023-09-20,
4fd698bf-8100-47a9-b4bd-98e969426211,10af4015-5270-4ab5-a450-be7312c62933,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
92e77b1b-fc1e-40bd-a547-36431543be21,748d4076-e606-4ced-98a1-e902191bb47b,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
98cfc57b-699c-447d-8401-c81d2b162bf2,97a9952c-4bd6-4c86-b9ad-bc40c63c80c0,NovaTech Solutions,Business Analyst,Worked as Business Analyst delivering key software solutions.,2023-09-20,
8547eb32-d0af-4960-9cb4-ec78710c9a4f,38d018e7-e85c-4774-95f7-1159738dd6df,NovaTech Solutions,Mobile Developer,Worked as Mobile Developer delivering key software solutions.,2023-09-20,
6067af00-fb94-43b5-878c-45222edba5cc,422735f2-7393-4a92-8be3-fa68ce24423b,NovaTech Solutions,Data Analyst,Worked as Data Analyst delivering key software solutions.,2023-09-20,
f25cdc0f-19dd-4a5a-a3f1-82d980d20fed,df0c309f-ddcf-4891-bc34-faefa5b588fd,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
f4d73772-ef22-44c3-82c4-ea77902a5656,174774d0-3477-46b6-8e67-74f2da86dbef,NovaTech Solutions,Mobile Developer,Worked as Mobile Developer delivering key software solutions.,2024-09-19,
aa455402-c95b-45e4-89ad-e0bd54107a26,c4a71295-cf7b-448a-aa25-8635c899692f,NovaTech Solutions,Backend Developer,Worked as Backend Developer delivering key software solutions.,2023-09-20,
1ef8d8e2-aa00-4ce5-8545-24dac70b3d6a,e1521996-0557-444b-a09e-1954a95b05be,NovaTech Solutions,Software Engineer,Worked as Software Engineer delivering key software solutions.,2023-09-20,
4de8b2a3-17bf-41c0-8e36-8a0df801acb0,6e8ee2d8-596e-48d2-a715-b59b040e64d9,NovaTech Solutions,Security Engineer,Worked as Security Engineer delivering key software solutions.,2023-09-20,
52e8c0d6-0aff-4e9d-ade5-3d752c35a5ed,721009c8-f69c-418a-81af-4bc134974563,NovaTech Solutions,Data Engineer,Worked as Data Engineer delivering key software solutions.,2023-09-20,
a12e9baa-6d23-4820-943f-c1bc9644b2b8,2918579a-aa13-4331-9697-957bec0a0e4a,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
f58faffd-4b4d-4b62-aa72-69c19a5da477,b7e3a441-015a-481d-a64b-ff32d0080f84,NovaTech Solutions,Data Analyst,Worked as Data Analyst delivering key software solutions.,2023-09-20,
2eea6e84-b876-4452-be2d-0205cde90793,e12846ff-3426-4ce3-ba39-808b5a608ea2,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
74dd63b9-cc40-49d3-97f4-c7a268f09267,b65cc510-dd85-4bd6-b8d9-55cb1df316de,NovaTech Solutions,Data Scientist,Worked as Data Scientist delivering key software solutions.,2023-09-20,
c533f84b-0c7a-4ec1-b6da-d250283d4437,6ebf6786-0ea1-4c5f-824a-1c45094bcfea,NovaTech Solutions,Cloud Security Engineer,Worked as Cloud Security Engineer delivering key software solutions.,2023-09-20,
0cbb51a4-fe52-424c-8f0d-d72b21d7d692,865834ac-cf65-4d53-b53f-20358b2a613a,NovaTech Solutions,MLOps Engineer,Worked as MLOps Engineer delivering key software solutions.,2023-09-20,
9f7df7c4-0187-40cc-a911-61b2f5fa1a52,cadad437-fa64-499a-8495-062731233477,NovaTech Solutions,Machine Learning Engineer,Worked as Machine Learning Engineer delivering key software solutions.,2023-09-20,
789bfb9d-b788-4873-9377-c60f3394724b,ab4b737e-1705-463e-a9da-d468aa42ae5f,NovaTech Solutions,Full Stack Developer,Worked as Full Stack Developer delivering key software solutions.,2023-09-20,
a991e92b-c413-49a1-a0fb-248913881d5d,5186ef51-263e-4947-8016-72c4cbbce0ca,NovaTech Solutions,Backend Developer,Worked as Backend Developer delivering key software solutions.,2023-09-20,
9af7b153-c15c-405e-b754-c7207e22fe9a,0f1ffef1-9033-46e2-9a7f-7800c5b806b5,NovaTech Solutions,Cloud Security Engineer,Worked as Cloud Security Engineer delivering key software solutions.,2023-09-20,
2a9b6d52-dcf0-441e-a82f-af8447eaf1dd,d9afe184-ae36-4e55-86e4-7ce7e2dc445a,NovaTech Solutions,Mobile Developer,Worked as Mobile Developer delivering key software solutions.,2023-09-20,
5097a4d8-b7ba-4609-8394-cb10b7592804,108943a4-5591-4c8e-b49e-a78192d20d9e,NovaTech Solutions,Product Analyst,Worked as Product Analyst delivering key software solutions.,2023-09-20,
616bed36-edb8-4001-a26a-3ac14af79232,1a401d12-1f70-4b5e-b0e1-e17adce507b8,NovaTech Solutions,MLOps Engineer,Worked as MLOps Engineer delivering key software solutions.,2023-09-20,
afbf0ef9-2ba1-43cf-b942-2e01a0313430,84c779d6-f8c9-4919-8085-aa721f6c8b98,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
c93adedf-e87e-4d0f-a334-1a091199cc2f,e349b2e3-b21a-41cf-9190-51dbb1f85cb5,NovaTech Solutions,DevOps Engineer,Worked as DevOps Engineer delivering key software solutions.,2023-09-20,
cba20af2-1527-4870-9cc7-bc0d6335ab53,9971b3bd-707b-48d3-89e0-5a3f73e9a8bb,NovaTech Solutions,Automation Test Engineer,Worked as Automation Test Engineer delivering key software solutions.,2023-09-20,
ae54817f-7b6a-4c04-a7df-587924fc297a,d95c9534-cd43-495c-80f6-b6fcc44c93ce,NovaTech Solutions,Data Engineer,Worked as Data Engineer delivering key software solutions.,2023-09-20,
f6065087-f769-4e42-8b64-90677d01ad42,d868370d-82ad-4c4a-857f-7e8339f59841,NovaTech Solutions,Security Engineer,Worked as Security Engineer delivering key software solutions.,2023-09-20,
08fa0f97-a055-4463-93a3-4e75c4a66287,2a3014fa-df34-4881-a735-57691d546152,NovaTech Solutions,Product Manager,Worked as Product Manager delivering key software solutions.,2023-09-20,
